id;original_id;voted_at;periodo;reunion;acta;titulo;tipo;presidente_id;presidente;afirmativos;negativos;abstenciones;resultado;documento_url;fuente_url
31;3622;"1993-06-23 21:26:00";111;9;2;"Moción del Diputado Ruckauf, solicitando el tratamiento sobre Tabla del Exp. 0190-S-92, en Revisión, por el cual se Aprueba el Tratado para la Proscripción de las Armas en América Latina y el caribe (Tratado de Tlatelolco) adoptado en México";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";59;70;2;NEGATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111OT01_02_R09.pdf;https://votaciones.hcdn.gob.ar/votacion/3622
30;3623;"1993-06-23 21:41:00";111;9;3;"Moción del Diputado Spinosa solicitando el tratamiento sobre Tabla del Exp. 1445-D-93, Pedido de Informe al PEN sobre una Circular de la Policia de la Provincia de Buenos Aires a los establecimientos de Enseñanza Media de la provincia";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";121;11;1;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111OT01_03_R09.pdf;https://votaciones.hcdn.gob.ar/votacion/3623
29;3624;"1993-06-30 21:21:00";111;10;2;"Moción de Orden del Diputado Spinosa solicitando el tratamiento sobre Tabla del Exp. 1550-D-93, que solicita Informe Verbales al Señor Ministro del Interior con relación al requerimiento por parte de Organismo de Seguridad sobre las Actividades y Filiación ideológicas de dirigentes de Centros Estudiantiles";"Votación Nominal";331;"MARTINEZ, Luis Alberto";93;59;4;NEGATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111OT01_02_R10.pdf;https://votaciones.hcdn.gob.ar/votacion/3624
28;3625;"1993-06-30 23:24:00";111;10;5;"Régimen de Defensa del Consumidor - Capítulo VI - Artículos del 25º al 31º con modificaciones";"Votación Nominal";274;"BROOK, Mario Carlos";129;6;2;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111OT01_05_R10.pdf;https://votaciones.hcdn.gob.ar/votacion/3625
27;3626;"1993-06-30 23:36:00";111;10;6;"Régimen de Defensa del Consumidor - Capítulo VII - Artículos del 32º al 35º";"Votación Nominal";274;"BROOK, Mario Carlos";118;3;4;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111OT01_06_R10.pdf;https://votaciones.hcdn.gob.ar/votacion/3626
26;3627;"1993-08-18 21:02:00";111;14;3;"Modificación de la Ley 23.349, Impuesto al Valor Agregado - Artículo 1º";"Votación Nominal";331;"MARTINEZ, Luis Alberto";60;61;21;NEGATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111OT03_03_R14.pdf;https://votaciones.hcdn.gob.ar/votacion/3627
25;3628;"1993-08-18 21:04:00";111;14;4;"Modificación de la Ley 23.349, Impuesto al Valor Agregado - Reconsideración de la votación del Artículo 1º";"Votación Nominal";331;"MARTINEZ, Luis Alberto";71;67;7;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111OT03_04_R14.pdf;https://votaciones.hcdn.gob.ar/votacion/3628
24;3629;"1993-08-18 21:05:00";111;14;5;"Modificación de la Ley 23.349, Impuesto al Valor Agregado - Se vuelve a votar el Artículo 1°";"Votación Nominal";331;"MARTINEZ, Luis Alberto";74;71;3;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111OT03_05_R14.pdf;https://votaciones.hcdn.gob.ar/votacion/3629
23;3630;"1993-08-18 21:10:00";111;14;6;"Modificación de la Ley 23.349, Impuesto al Valor Agregado - Reconsideración de la votación del Artículo 1º";"Votación Nominal";331;"MARTINEZ, Luis Alberto";78;76;0;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111OT03_06_R14.pdf;https://votaciones.hcdn.gob.ar/votacion/3630
22;3631;"1993-11-03 21:39:00";111;24;3;"Moción del Diputado Matzkin solicitando Preferencia para la próxima sesión del Exp. 0190-S-92 - OD 1222, Tratado para la Proscripción de Armas Nucleares en América Latina y el Caribe (Tratado de Tlatelolco)	Nominal";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";256;0;0;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111PO01_03_R24.pdf;https://votaciones.hcdn.gob.ar/votacion/3631
21;3632;"1993-11-10 19:47:00";111;25;1;"Tratado para la Proscripción de Armas Nucleares en América Latina y el Caribe (Tratado de Tlatelolco), adoptada en México - En General";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";113;82;5;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111PO02_01_R25.pdf;https://votaciones.hcdn.gob.ar/votacion/3632
20;3633;"1993-11-10 20:27:00";111;25;3;"Insistencia de la HCDN en la sanción original del proyecto de Ley 24.164, Creación de un Juzgado Federal en Reconquista, provincia de Santa Fe, Observada por el PEN con Decreto 1847/92, Mensaje 1948";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";185;5;3;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111PO02_03_R25.pdf;https://votaciones.hcdn.gob.ar/votacion/3633
