id,voting_id,legislador_id,legislador,bloque_id,bloque,provincia_id,provincia,voto
313006,1219,1033,"ACOSTA, María Julia",1,"Frente para la Victoria - PJ",4,Catamarca,AFIRMATIVO
313007,1219,929,"ACUÑA KUNZ, Juan Erwin",6,"Unión Cívica Radical",20,"Santa Cruz",AUSENTE
313008,1219,1025,"ACUÑA, Hugo Rodolfo",16,"Movimiento Popular Neuquino",15,Neuquén,AUSENTE
313009,1219,1034,"AGOSTO, Walter Alfredo",156,"Santa Fe Federal",21,"Santa Fe",NEGATIVO
313010,1219,930,"AGUAD, Oscar Raúl",6,"Unión Cívica Radical",3,Córdoba,AFIRMATIVO
313011,1219,1035,"AGUIRRE DE SORIA, Hilda Clelia",1,"Frente para la Victoria - PJ",12,"La Rioja",AFIRMATIVO
313012,1219,1036,"ALBARRACIN, Jorge Luis",148,"Consenso Federal",13,Mendoza,AUSENTE
313013,1219,496,"ALBRISI, César Alfredo",132,"Frente Justicia Unión y Libertad",3,Córdoba,NEGATIVO
313014,1219,1037,"ALCUAZ, Horacio Alberto",157,GEN,1,"Buenos Aires",AUSENTE
313015,1219,1038,"ALFARO, Germán Enrique",1,"Frente para la Victoria - PJ",24,Tucumán,AUSENTE
313016,1219,820,"ALVAREZ, Juan José",149,"Unión Celeste y Blanco",1,"Buenos Aires",AFIRMATIVO
313017,1219,1039,"ALVARO, Héctor Jorge",131,"De la Concertación",13,Mendoza,AFIRMATIVO
313018,1219,1040,"AMENTA, Marcelo Eduardo",158,"Convergencia Federal",1,"Buenos Aires",AUSENTE
313019,1219,1041,"ARBO, José Ameghino",135,"Partido Liberal de Corrientes",7,Corrientes,AUSENTE
313020,1219,1042,"ARDID, Mario Rolando",82,"Partido Nuevo Contra la Corrupción",3,Córdoba,AFIRMATIVO
313021,1219,1043,"ARETA, María Josefa",125,"Frente de Todos",7,Corrientes,AUSENTE
313022,1219,1044,"ARGÜELLO, Octavio",1,"Frente para la Victoria - PJ",1,"Buenos Aires",AFIRMATIVO
313023,1219,932,"ARRIAGA, Julio Esteban",130,"Unión Peronista",16,"Río Negro",AUSENTE
313024,1219,933,"AUGSBURGER, Silvia",66,"Partido Socialista",21,"Santa Fe",AUSENTE
313025,1219,934,"AZCOITI, Pedro José",6,"Unión Cívica Radical",1,"Buenos Aires",AFIRMATIVO
313026,1219,499,"BALADRON, Manuel Justo",1,"Frente para la Victoria - PJ",11,"La Pampa",AFIRMATIVO
313027,1219,1045,"BALDATA, Griselda Angela",133,"Coalición Cívica - ARI - GEN - UPT",3,Córdoba,AUSENTE
313028,1219,935,"BARAGIOLA, Vilma Rosana",6,"Unión Cívica Radical",1,"Buenos Aires",AUSENTE
313029,1219,936,"BARRIONUEVO, José Luis",124,"Nacional Sindical",4,Catamarca,AUSENTE
313030,1219,1046,"BARRIOS, Miguel Angel",66,"Partido Socialista",21,"Santa Fe",NEGATIVO
313031,1219,1149,"BARTOLUCCI, Gilda Liliana",132,"Frente Justicia Unión y Libertad",19,"San Luis",NEGATIVO
313032,1219,722,"BASTEIRO, Sergio Ariel",136,"Encuentro Popular y Social",1,"Buenos Aires",AFIRMATIVO
313033,1219,724,"BAYONZO, Liliana Amelia",6,"Unión Cívica Radical",5,Chaco,AUSENTE
313034,1219,1047,"BEDANO, Nora Esther",1,"Frente para la Victoria - PJ",3,Córdoba,AFIRMATIVO
313035,1219,1048,"BELOUS, Nélida",159,"Proyecto Progresista",23,"Tierra del Fuego",AFIRMATIVO
313036,1219,1049,"BENAS, Verónica Claudia",160,"Solidaridad e Igualdad (SI)",21,"Santa Fe",AUSENTE
313037,1219,1050,"BERNAZZA, Claudia Alicia",1,"Frente para la Victoria - PJ",1,"Buenos Aires",AFIRMATIVO
313038,1219,937,"BERRAUTE, Ana",1,"Frente para la Victoria - PJ",21,"Santa Fe",AFIRMATIVO
313039,1219,938,"BERTOL, Paula María",111,"Propuesta Republicana",2,C.A.B.A.,AUSENTE
313040,1219,725,"BERTONE, Rosana Andrea",1,"Frente para la Victoria - PJ",23,"Tierra del Fuego",AFIRMATIVO
313041,1219,1051,"BEVERAGGI, Margarita Beatriz",6,"Unión Cívica Radical",5,Chaco,AUSENTE
313042,1219,372,"BIANCHI SILVESTRE, Marcela Alejandra",1,"Frente para la Victoria - PJ",1,"Buenos Aires",AFIRMATIVO
313043,1219,1052,"BIANCHI, Ivana María",132,"Frente Justicia Unión y Libertad",19,"San Luis",NEGATIVO
313044,1219,939,"BIANCO, Lía Fabiola",1,"Frente para la Victoria - PJ",14,Misiones,AFIRMATIVO
313045,1219,1053,"BIDEGAIN, Gloria Mercedes",1,"Frente para la Victoria - PJ",1,"Buenos Aires",AFIRMATIVO
313046,1219,942,"BISUTTI, Delia Beatriz",160,"Solidaridad e Igualdad (SI)",2,C.A.B.A.,AUSENTE
313047,1219,828,"BONASSO, Miguel Luis",138,"Diálogo por Buenos Aires",2,C.A.B.A.,AUSENTE
313048,1219,943,"BRILLO, José Ricardo",16,"Movimiento Popular Neuquino",15,Neuquén,AUSENTE
313049,1219,944,"BRUE, Daniel Agustín",119,"Frente Cívico por Santiago",22,"Santiago del Estero",AFIRMATIVO
313050,1219,945,"BULLRICH, Esteban  José",111,"Propuesta Republicana",2,C.A.B.A.,AUSENTE
313051,1219,52,"BULLRICH, Patricia",133,"Coalición Cívica - ARI - GEN - UPT",2,C.A.B.A.,AUSENTE
313052,1219,946,"BURZACO, Eugenio",111,"Propuesta Republicana",1,"Buenos Aires",AFIRMATIVO
313053,1219,1054,"CALCHAQUI, Mariel",1,"Frente para la Victoria - PJ",23,"Tierra del Fuego",AUSENTE
313054,1219,1055,"CALZA, Nelio Higinio",1,"Frente para la Victoria - PJ",8,"Entre Ríos",AFIRMATIVO
