,legislador_id,id_hcdn,legislador,Afirmativos,Negativos,Abstenciones,Ausencias,Total,url_hcdn
0,714,596,"ABALOS, Roberto José",61,96,6,50,213,https://votaciones.hcdn.gob.ar/diputado/596
1,376,1531,"ABALOVICH, Eduardo Antonio",41,33,4,22,100,https://votaciones.hcdn.gob.ar/diputado/1531
2,377,1496,"ABAN, Gloria del S.",58,23,2,17,100,https://votaciones.hcdn.gob.ar/diputado/1496
3,3,597,"ABASTO, Angel Leonidas",121,52,0,108,281,https://votaciones.hcdn.gob.ar/diputado/597
4,1156,395,"ABDALA DE MATARAZZO, Norma Amanda",676,51,4,148,879,https://votaciones.hcdn.gob.ar/diputado/395
5,368,1197,"ABDALA, Germán Darío",1,0,0,5,6,https://votaciones.hcdn.gob.ar/diputado/1197
6,818,598,"ABDALA, Josefina",261,139,14,284,698,https://votaciones.hcdn.gob.ar/diputado/598
7,494,599,"ABELLA, Miguel Angel",67,31,5,14,117,https://votaciones.hcdn.gob.ar/diputado/599
8,4,1414,"ABIHAGGLE, Carlos Enrique",78,6,1,54,139,https://votaciones.hcdn.gob.ar/diputado/1414
9,1337,166,"ABRAHAM, Alejandro",327,126,5,32,490,https://votaciones.hcdn.gob.ar/diputado/166
10,928,600,"ACCASTELLO, Eduardo",275,16,14,261,566,https://votaciones.hcdn.gob.ar/diputado/600
11,715,601,"ACCAVALLO, Julio César",104,41,18,50,213,https://votaciones.hcdn.gob.ar/diputado/601
12,1429,572,"ACERENZA, Samanta María Celeste",305,89,2,79,475,https://votaciones.hcdn.gob.ar/diputado/572
13,378,602,"ACEVEDO, Sergio Edgardo",83,17,10,47,157,https://votaciones.hcdn.gob.ar/diputado/602
14,5,1198,"ACEÑOLAZA, Florencio G.",76,11,0,24,111,https://votaciones.hcdn.gob.ar/diputado/1198
15,6,1309,"ACHEM, Antonio",27,31,4,49,111,https://votaciones.hcdn.gob.ar/diputado/1309
16,1033,398,"ACOSTA, María Julia",310,30,1,24,365,https://votaciones.hcdn.gob.ar/diputado/398
17,929,604,"ACUÑA KUNZ, Juan Erwin",387,162,23,260,832,https://votaciones.hcdn.gob.ar/diputado/604
18,1025,603,"ACUÑA, Hugo Rodolfo",390,73,11,170,644,https://votaciones.hcdn.gob.ar/diputado/603
19,7,1245,"ADAIME, Felipe Teófilo",56,67,3,85,211,https://votaciones.hcdn.gob.ar/diputado/1245
20,1034,213,"AGOSTO, Walter Alfredo",168,45,12,140,365,https://votaciones.hcdn.gob.ar/diputado/213
21,930,60,"AGUAD, Oscar Raúl",394,268,66,609,1337,https://votaciones.hcdn.gob.ar/diputado/60
22,260,1310,"AGUADO, Jorge Ruben",8,3,0,3,14,https://votaciones.hcdn.gob.ar/diputado/1310
23,716,605,"AGUERO, Elda Susana",564,38,18,159,779,https://votaciones.hcdn.gob.ar/diputado/605
24,1247,223,"AGUILAR, Lino Walter",125,63,26,193,407,https://votaciones.hcdn.gob.ar/diputado/223
25,1035,472,"AGUIRRE DE SORIA, Hilda Clelia",214,28,6,117,365,https://votaciones.hcdn.gob.ar/diputado/472
26,495,1543,"AGUIRRE, Orlando Raul",22,4,1,9,36,https://votaciones.hcdn.gob.ar/diputado/1543
27,261,1246,"AGUNDEZ, Jorge Alfreso",5,2,0,7,14,https://votaciones.hcdn.gob.ar/diputado/1246
28,1551,1645,"AICEGA, Juan",104,61,0,3,168,https://votaciones.hcdn.gob.ar/diputado/1645
29,262,1247,"ALABI, Ernesto",5,1,0,8,14,https://votaciones.hcdn.gob.ar/diputado/1247
30,379,606,"ALARCIA, Martha Carmen",84,61,2,118,265,https://votaciones.hcdn.gob.ar/diputado/606
31,584,607,"ALARCON, María del Carmen",304,78,36,445,863,https://votaciones.hcdn.gob.ar/diputado/607
32,8,1311,"ALBAMONTE, Alberto Gustavo",69,13,4,25,111,https://votaciones.hcdn.gob.ar/diputado/1311
33,1036,177,"ALBARRACIN, Jorge Luis",226,126,10,128,490,https://votaciones.hcdn.gob.ar/diputado/177
34,9,1248,"ALBERTI, Juan Carlos",36,19,3,53,111,https://votaciones.hcdn.gob.ar/diputado/1248
35,1430,570,"ALBORNOZ, Gabriela Romina",258,38,1,10,307,https://votaciones.hcdn.gob.ar/diputado/570
36,1157,36,"ALBRIEU, Oscar Edmundo Nicolas",284,19,1,19,323,https://votaciones.hcdn.gob.ar/diputado/36
37,496,609,"ALBRISI, César Alfredo",130,100,12,144,386,https://votaciones.hcdn.gob.ar/diputado/609
38,10,1199,"ALCALA, Nestor Ricardo",75,17,1,18,111,https://votaciones.hcdn.gob.ar/diputado/1199
39,585,610,"ALCHOURON, Guillermo Eduardo",255,171,40,397,863,https://votaciones.hcdn.gob.ar/diputado/610
40,1037,39,"ALCUAZ, Horacio Alberto",166,105,9,85,365,https://votaciones.hcdn.gob.ar/diputado/39
41,1338,64,"ALEGRE, Gilberto Oscar",300,38,28,124,490,https://votaciones.hcdn.gob.ar/diputado/64
42,11,1249,"ALENDE, Oscar Eduardo",7,3,1,134,145,https://votaciones.hcdn.gob.ar/diputado/1249
43,586,611,"ALESANDRI, Carlos Tomas",50,42,1,72,165,https://votaciones.hcdn.gob.ar/diputado/611
44,380,612,"ALESSANDRO, Dario Pedro",159,62,16,28,265,https://votaciones.hcdn.gob.ar/diputado/612
45,1038,233,"ALFARO, Germán Enrique",237,29,1,89,356,https://votaciones.hcdn.gob.ar/diputado/233
46,1158,77,"ALFONSÍN, Ricardo",357,143,13,300,813,https://votaciones.hcdn.gob.ar/diputado/77
47,12,1250,"ALGABA, Ernesto Pedro",34,54,5,18,111,https://votaciones.hcdn.gob.ar/diputado/1250
48,1159,43,"ALIZEGUI, Antonio Aníbal",66,20,1,12,99,https://votaciones.hcdn.gob.ar/diputado/43
49,692,614,"ALLENDE IRIARTE, Alberto",14,12,1,15,42,https://votaciones.hcdn.gob.ar/diputado/614
50,381,613,"ALLENDE, Alfredo Estanislao",101,53,1,110,265,https://votaciones.hcdn.gob.ar/diputado/613
51,1552,1653,"ALLENDE, Walberto Enrique",139,11,4,14,168,https://votaciones.hcdn.gob.ar/diputado/1653
52,819,38,"ALONSO, Gumersindo Federico",500,89,22,410,1021,https://votaciones.hcdn.gob.ar/diputado/38
53,1431,90,"ALONSO, Horacio Fernando",280,12,1,14,307,https://votaciones.hcdn.gob.ar/diputado/90
54,1160,552,"ALONSO, Laura",146,126,8,226,506,https://votaciones.hcdn.gob.ar/diputado/552
55,1553,1643,"ALONSO, Laura Valeria",94,42,4,28,168,https://votaciones.hcdn.gob.ar/diputado/1643
56,1248,585,"ALONSO, María Luz",393,6,0,8,407,https://votaciones.hcdn.gob.ar/diputado/585
57,13,1243,"ALSOGARAY, Albaro Carlos",53,50,8,100,211,https://votaciones.hcdn.gob.ar/diputado/1243
58,382,1498,"ALTERACH, Miguel Angel",65,24,1,10,100,https://votaciones.hcdn.gob.ar/diputado/1498
59,1554,1624,"ALUME SBODIO, Karim Augusto",81,35,7,45,168,https://votaciones.hcdn.gob.ar/diputado/1624
60,14,1314,"ALVAREZ ECHAGUE, Raul A.",91,25,3,92,211,https://votaciones.hcdn.gob.ar/diputado/1314
61,15,1251,"ALVAREZ GARCIA, Normando",69,45,5,92,211,https://votaciones.hcdn.gob.ar/diputado/1251
62,16,1312,"ALVAREZ, Carlos Alberto",67,55,2,87,211,https://votaciones.hcdn.gob.ar/diputado/1312
63,17,1417,"ALVAREZ, Carlos Raúl",92,20,3,49,164,https://votaciones.hcdn.gob.ar/diputado/1417
64,1161,453,"ALVAREZ, Elsa María",183,87,5,48,323,https://votaciones.hcdn.gob.ar/diputado/453
65,263,1313,"ALVAREZ, Hector Claudio",5,1,0,8,14,https://votaciones.hcdn.gob.ar/diputado/1313
66,1162,132,"ALVAREZ, Jorge Mario",159,85,11,68,323,https://votaciones.hcdn.gob.ar/diputado/132
67,820,115,"ALVAREZ, Juan José",327,121,20,595,1063,https://votaciones.hcdn.gob.ar/diputado/115
68,717,615,"ALVAREZ, Roque Tobías",160,22,3,28,213,https://votaciones.hcdn.gob.ar/diputado/615
69,1039,12,"ALVARO, Héctor Jorge",291,28,6,40,365,https://votaciones.hcdn.gob.ar/diputado/12
70,18,342,"AMADEO, Eduardo Pablo",460,184,6,185,835,https://votaciones.hcdn.gob.ar/diputado/342
71,1040,617,"AMENTA, Marcelo Eduardo",85,58,1,122,266,https://votaciones.hcdn.gob.ar/diputado/617
72,718,618,"AMSTUTZ, Guillermo",167,11,3,32,213,https://votaciones.hcdn.gob.ar/diputado/618
73,1141,619,"ANAUATE, Carlos Alfredo",3,1,0,114,118,https://votaciones.hcdn.gob.ar/diputado/619
74,817,620,"ANCARANI, Hilda Norma",0,0,0,1,1,https://votaciones.hcdn.gob.ar/diputado/620
75,1555,1627,"ANSALONI, Pablo Miguel",102,55,0,11,168,https://votaciones.hcdn.gob.ar/diputado/1627
76,19,1413,"ANTELO, José María",37,27,12,34,110,https://votaciones.hcdn.gob.ar/diputado/1413
77,1249,316,"ARAGON, Santiago",14,0,0,0,14,https://votaciones.hcdn.gob.ar/diputado/316
78,20,1415,"ARAGONES de JUAREZ, Mercedes",40,11,0,144,195,https://votaciones.hcdn.gob.ar/diputado/1415
79,383,1544,"ARAMBURU, Guillermo Raul",39,30,1,30,100,https://votaciones.hcdn.gob.ar/diputado/1544
80,21,1200,"ARANDA, Saturnino Dantti",78,13,0,20,111,https://votaciones.hcdn.gob.ar/diputado/1200
81,1041,63,"ARBO, José Ameghino",122,61,12,170,365,https://votaciones.hcdn.gob.ar/diputado/63
82,1556,1622,"ARCE, Mario Horacio",107,58,0,3,168,https://votaciones.hcdn.gob.ar/diputado/1622
83,1042,621,"ARDID, Mario Rolando",248,68,12,98,426,https://votaciones.hcdn.gob.ar/diputado/621
84,1163,506,"ARENA, Celia Isabel",286,10,1,26,323,https://votaciones.hcdn.gob.ar/diputado/506
85,1339,429,"ARENAS, Berta Hortensia",291,61,18,120,490,https://votaciones.hcdn.gob.ar/diputado/429
86,1043,407,"ARETA, María Josefa",199,32,5,129,365,https://votaciones.hcdn.gob.ar/diputado/407
87,587,623,"ARGUL, Marta del Carmen",86,41,7,31,165,https://votaciones.hcdn.gob.ar/diputado/623
88,1164,344,"ARGUMEDO, Alcira Susana",368,229,53,163,813,https://votaciones.hcdn.gob.ar/diputado/344
89,22,622,"ARGÜELLO, Jorge",452,31,17,181,681,https://votaciones.hcdn.gob.ar/diputado/622
90,1044,193,"ARGÜELLO, Octavio",258,18,1,88,365,https://votaciones.hcdn.gob.ar/diputado/193
91,23,1201,"ARIAS, Cesar",138,30,5,38,211,https://votaciones.hcdn.gob.ar/diputado/1201
92,24,1315,"ARMENDARIZ, Alejandro",45,31,2,33,111,https://votaciones.hcdn.gob.ar/diputado/1315
93,588,624,"ARNALDI, Monica Susana",77,52,0,36,165,https://votaciones.hcdn.gob.ar/diputado/624
94,821,625,"ARNOLD, Eduardo Ariel",285,16,9,388,698,https://votaciones.hcdn.gob.ar/diputado/625
95,25,1316,"ARRECHEA, José Salvador",74,11,3,23,111,https://votaciones.hcdn.gob.ar/diputado/1316
96,1250,368,"ARREGUI, Andrés Roberto",378,6,2,21,407,https://votaciones.hcdn.gob.ar/diputado/368
