"date","votingId","legislator","party","region","vote","photoUrl","videoUrl"
"2005-12-06 16:16:00",2775,"ABDALA, Josefina","Unión Cívica Radical","Mendoza","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4313.jpg",
"2005-12-06 16:16:00",2775,"ACCASTELLO, Eduardo","Justicialista","Córdoba","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4484.jpg",
"2005-12-06 16:16:00",2775,"ACUÑA KUNZ, Juan Erwin","Unión Cívica Radical","Santa Cruz","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4529.jpg",
"2005-12-06 16:16:00",2775,"AGUAD, Oscar Raúl","Unión Cívica Radical","Córdoba","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4491.jpg",
"2005-12-06 16:16:00",2775,"AGUERO, Elda Susana","Peronista Federal","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4285.jpg",
"2005-12-06 16:16:00",2775,"ALARCON, María del Carmen","Justicialista","Santa Fe","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A2096.jpg",
"2005-12-06 16:16:00",2775,"ALCHOURON, Guillermo Eduardo","Acción por la República","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A2515.jpg",
"2005-12-06 16:16:00",2775,"ALONSO, Gumersindo Federico","Partido Nuevo Contra la Corrupción","Córdoba","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4315.jpg",
"2005-12-06 16:16:00",2775,"ÁLVAREZ RODRIGUEZ, María Cristina","Justicialista","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50892.jpg",
"2005-12-06 16:16:00",2775,"ALVAREZ, Juan José","Peronista Federal","Buenos Aires","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A4316.jpg",
"2005-12-06 16:16:00",2775,"ARGÜELLO, Jorge","Justicialista","C.A.B.A.","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4317.jpg",
"2005-12-06 16:16:00",2775,"ARNOLD, Eduardo Ariel","Justicialista","Santa Cruz","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4318.jpg",
"2005-12-06 16:16:00",2775,"ARRIAGA, Julio Esteban","Justicialista","Rio Negro","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4518.jpg",
"2005-12-06 16:16:00",2775,"ARTOLA, Isabel Amanda","Frente Popular Bonaerense","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4319.jpg",
"2005-12-06 16:16:00",2775,"ATANASOF, Alfredo Néstor","Peronista Federal","Buenos Aires","ABSTENCION","https://votaciones.hcdn.gob.ar/public/diputados/images/A1795.jpg",
"2005-12-06 16:16:00",2775,"AUGSBURGER, Silvia","Frente Prog. Civico y Social","Santa Fe","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4531.jpg",
"2005-12-06 16:16:00",2775,"AZCOITI, Pedro José","Unión Cívica Radical","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4461.jpg",
"2005-12-06 16:16:00",2775,"BAIGORRI, Guillermo Francisco","Vida y Compromiso","San Juan","ABSTENCION","https://votaciones.hcdn.gob.ar/public/diputados/images/A4320.jpg",
"2005-12-06 16:16:00",2775,"BALADRON, Manuel Justo","Justicialista","La Pampa","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A3059.jpg",
"2005-12-06 16:16:00",2775,"BALESTRINI, Alberto","Justicialista","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4437.jpg",
"2005-12-06 16:16:00",2775,"BARAGIOLA, Vilma Rosana","Unión Cívica Radical","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4545.jpg",
"2005-12-06 16:16:00",2775,"BARRIONUEVO, José Luis","Justicialista","Catamarca","ABSTENCION","https://votaciones.hcdn.gob.ar/public/diputados/images/A4476.jpg",
"2005-12-06 16:16:00",2775,"BAYONZO, Liliana Amelia","Unión Cívica Radical","Chaco","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4058.jpg",
"2005-12-06 16:16:00",2775,"BECCANI, Alberto Juan","Unión Cívica Radical","Santa Fe","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4321.jpg",
"2005-12-06 16:16:00",2775,"BEJARANO, Mario Fernando","Justicialista","Formosa","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A4322.jpg",
"2005-12-06 16:16:00",2775,"BERRAUTE, Ana","Justicialista","Santa Fe","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4534.jpg",
"2005-12-06 16:16:00",2775,"BERTOL, Paula María","Propuesta Republicana","C.A.B.A.","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4469.jpg",
"2005-12-06 16:16:00",2775,"BERTONE, Rosana Andrea","Justicialista","Tierra del Fuego","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4080.jpg",
"2005-12-06 16:16:00",2775,"BIANCHI SILVESTRE, Marcela Alejandra","Justicialista","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4163.jpg",
"2005-12-06 16:16:00",2775,"BIANCO, Lía Fabiola","Justicialista","Misiones","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4512.jpg",
"2005-12-06 16:16:00",2775,"BINNER, Hermes Juan","Partido Socialista","Santa Fe","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50865.jpg",
"2005-12-06 16:16:00",2775,"BISUTTI, Delia Beatriz","A.R.I","C.A.B.A.","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4464.jpg",
"2005-12-06 16:16:00",2775,"BONACORSI, Juan Carlos","Unidad Federalista","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4323.jpg",
"2005-12-06 16:16:00",2775,"BONASSO, Miguel Luis","Convergencia","C.A.B.A.","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4324.jpg",
"2005-12-06 16:16:00",2775,"BORSANI, Luis Gustavo","Unión Cívica Radical","Mendoza","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A50953.jpg",
"2005-12-06 16:16:00",2775,"BOSCH, Irene Miriam","Convergencia","Misiones","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4326.jpg",
"2005-12-06 16:16:00",2775,"BRILLO, José Ricardo","Movimiento Popular Neuquino","Neuquén","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4516.jpg",
"2005-12-06 16:16:00",2775,"BRUE, Daniel Agustín","Frente Cívico por Santiago","Santiago del Estero","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4539.jpg",
"2005-12-06 16:16:00",2775,"BULLRICH, Esteban  José","Propuesta Republicana","C.A.B.A.","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4471.jpg",
"2005-12-06 16:16:00",2775,"BURZACO, Eugenio","Propuesta Republicana","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4459.jpg",
"2005-12-06 16:16:00",2775,"CAMAÑO, Eduardo Oscar","Peronista Federal","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A31.jpg",
"2005-12-06 16:16:00",2775,"CAMAÑO, Graciela","Peronista Federal","Buenos Aires","ABSTENCION","https://votaciones.hcdn.gob.ar/public/diputados/images/A3457.jpg",
"2005-12-06 16:16:00",2775,"CAMBARERI, Fortunato Rafael","Unión Cívica Radical","Chubut","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A110.jpg",
"2005-12-06 16:16:00",2775,"CANELA, Susana","Justicialista","Salta","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50853.jpg",
"2005-12-06 16:16:00",2775,"CANTERO GUTIERREZ, Alberto","Justicialista","Córdoba","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4485.jpg",
"2005-12-06 16:16:00",2775,"CANTEROS, Gustavo Jesús Adolfo","Frente Proyecto Corrientes","Corrientes","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4414.jpg",
"2005-12-06 16:16:00",2775,"CANTOS, José María","Justicialista","Santiago del Estero","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4327.jpg",
