"id","date","record","title","fileUrl","type","result","recordUrl","detailsUrl","videoUrl","affirmativeCount","negativeCount","abstentionCount","absentCount"
1002,"2010-12-22",1,"MENSAJE Nª ( 1624/10 ) SOLICITANDO ACUERDO PARA PROMOVER AL GRADO INMEDIATO SUPERIOR A PERSONAL MILITAR SUPERIOR DEL EJERCITO, CON FECHA 31 DE DICIEMBRE DE 2010. PE-239/10-AC","/parlamentario/comisiones/verExp/239.10/PE/AC","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/1002","/votaciones/detalleActa/1002",,36,1,4,31
1003,"2010-12-15",1,"Temas Varios Expedientes ( PE-281/10-AC, PE-282/10-AC, PE-283/10-AC, PE-284/10-AC, PE-285/10-AC, PE-286/10-AC, PE-287/10-AC, PE-288/10-AC, PE-289/10-AC, PE-290/10-AC, PE-291/10-AC, PE-292/10-AC, PE-293/10-AC, PE-294/10-AC, PE-295/10-AC, PE-296/10-AC, PE-297/10-AC, PE-298/10-AC, PE-299/10-AC, PE-300/10-AC, PE-301/10-AC, PE-302/10-AC, PE-303/10-AC, PE-304/10-AC, PE-305/10-AC, PE-306/10-AC, PE-307/10-AC, PE-308/10-AC, PE-309/10-AC, PE-310/10-AC, PE-311/10-AC, PE-312/10-AC, PE-313/10-AC, PE-314/10-AC, PE-315/10-AC, PE-316/10-AC, PE-317/10-AC, PE-318/10-AC, PE-320/10-AC, PE-321/10-AC, PE-322/10-AC, PE-323/10-AC, PE-324/10-AC, PE-325/10-AC, PE-326/10-AC, PE-327/10-AC, PE-328/10-AC, PE-329/10-AC, PE-330/10-AC, PE-331/10-AC, PE-332/10-AC, PE-333/10-AC, PE-334/10-AC, PE-335/10-AC, PE-336/10-AC, PE-337/10-AC, PE-338/10-AC, PE-339/10-AC, PE-340/10-AC, PE-341/10-AC, PE-342/10-AC, PE-343/10-AC, PE-344/10-AC, PE-345/10-AC, PE-346/10-AC, PE-347/10-AC, PE-348/10-AC, PE-349/10-AC, PE-350/10-AC, PE-351/10-AC, PE-352/10-AC, PE-353/10-AC, PE-354/10-AC, PE-355/10-AC, PE-356/10-AC, PE-357/10-AC, PE-358/10-AC, PE-359/10-AC, PE-360/10-AC, PE-361/10-AC, PE-362/10-AC, PE-280/10-AC","/parlamentario/comisiones/verExp/281.10/PE/AC","HABILITACIÓN TRAT SOBRE TABLAS","AFIRMATIVO","/votaciones/verActaVotacion/1003","/votaciones/detalleActa/1003",,54,9,0,9
1004,"2010-12-15",2,"Temas Varios Expedientes ( PE-281/10-AC, PE-282/10-AC, PE-283/10-AC, PE-284/10-AC, PE-285/10-AC, PE-286/10-AC, PE-287/10-AC, PE-288/10-AC, PE-289/10-AC, PE-290/10-AC, PE-291/10-AC, PE-292/10-AC, PE-293/10-AC, PE-294/10-AC, PE-295/10-AC, PE-296/10-AC, PE-297/10-AC, PE-298/10-AC, PE-299/10-AC, PE-300/10-AC, PE-301/10-AC, PE-302/10-AC, PE-303/10-AC, PE-304/10-AC, PE-305/10-AC, PE-306/10-AC, PE-307/10-AC, PE-308/10-AC, PE-309/10-AC, PE-310/10-AC, PE-311/10-AC, PE-312/10-AC, PE-313/10-AC, PE-314/10-AC, PE-315/10-AC, PE-316/10-AC, PE-317/10-AC, PE-318/10-AC, PE-320/10-AC, PE-321/10-AC, PE-322/10-AC, PE-323/10-AC, PE-324/10-AC, PE-325/10-AC, PE-326/10-AC, PE-327/10-AC, PE-328/10-AC, PE-329/10-AC, PE-330/10-AC, PE-331/10-AC, PE-332/10-AC, PE-333/10-AC, PE-334/10-AC, PE-335/10-AC, PE-336/10-AC, PE-337/10-AC, PE-338/10-AC, PE-339/10-AC, PE-340/10-AC, PE-341/10-AC, PE-342/10-AC, PE-343/10-AC, PE-344/10-AC, PE-345/10-AC, PE-346/10-AC, PE-347/10-AC, PE-348/10-AC, PE-349/10-AC, PE-350/10-AC, PE-351/10-AC, PE-352/10-AC, PE-353/10-AC, PE-354/10-AC, PE-355/10-AC, PE-356/10-AC, PE-357/10-AC, PE-358/10-AC, PE-359/10-AC, PE-360/10-AC, PE-361/10-AC, PE-362/10-AC, PE-280/10-AC","/parlamentario/comisiones/verExp/281.10/PE/AC","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/1004","/votaciones/detalleActa/1004",,53,8,1,10
1005,"2010-12-15",3,"Temas Varios Expedientes ( PE-157/10-AC, PE-158/10-AC, PE-159/10-AC, PE-160/10-AC, PE-161/10-AC, PE-162/10-AC, PE-163/10-AC, PE-164/10-AC, PE-165/10-AC, PE-167/10-AC","/parlamentario/comisiones/verExp/157.10/PE/AC","HABILITACIÓN TRAT SOBRE TABLAS","AFIRMATIVO","/votaciones/verActaVotacion/1005","/votaciones/detalleActa/1005",,42,17,0,13
1006,"2010-12-15",4,"MENSAJE Nº 1326/10 SOLICITANDO ACUERDO PARA DESIGNAR VOCAL DE LA CAMARA NACIONAL DE APELACIONES DEL TRABAJO DE LA CAPITAL FEDERAL, SALA III, A LA DRA. DIANA REGINA CAÑAL . PE-161/10-AC","/parlamentario/comisiones/verExp/161.10/PE/AC","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/1006","/votaciones/detalleActa/1006",,36,12,12,12
1007,"2010-12-15",5,"Temas Varios Expedientes ( PE-157/10-AC, PE-158/10-AC, PE-159/10-AC, PE-160/10-AC, PE-162/10-AC, PE-163/10-AC, PE-164/10-AC, PE-165/10-AC, PE-167/10-AC","/parlamentario/comisiones/verExp/157.10/PE/AC","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/1007","/votaciones/detalleActa/1007",,45,12,4,11
1008,"2010-12-15",6,"MENSAJE Nº 1832/10 SOLICITANDO ACUERDO PARA NOMBRAR EMBAJADOR EXTRAORDINARIO Y PLENIPOTENCIARIO A D. ALDO FERRER . PE-367/10-AC","/parlamentario/comisiones/verExp/367.10/PE/AC","HABILITACIÓN TRAT SOBRE TABLAS","AFIRMATIVO","/votaciones/verActaVotacion/1008","/votaciones/detalleActa/1008",,49,11,0,12
1009,"2010-12-15",7,"MENSAJE Nº 1832/10 SOLICITANDO ACUERDO PARA NOMBRAR EMBAJADOR EXTRAORDINARIO Y PLENIPOTENCIARIO A D. ALDO FERRER . PE-367/10-AC","/parlamentario/comisiones/verExp/367.10/PE/AC","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/1009","/votaciones/detalleActa/1009",,49,12,0,11
1010,"2010-12-15",8,"PROYECTO DE LEY PRORROGANDO HASTA EL 31 DE DICIEMBRE DE 2011, INCLUSIVE, LA VIGENCIA DEL IMPUESTO ADICIONAL DE EMERGENCIA SOBRE EL PRECIO FINAL DE VENTA DE CIGARRILLOS ( LEY 24625 ) Y LA DISTRIBUCION DEL PRODUCIDO DEL MENCIONADO TRIBUTO ( LEY 25239 ). CD-67/10-PL","/parlamentario/comisiones/verExp/67.10/CD/PL","EN GENERAL","AFIRMATIVO","/votaciones/verActaVotacion/1010","/votaciones/detalleActa/1010",,47,7,0,18
1011,"2010-12-15",9,"PROYECTO DE LEY PRORROGANDO HASTA EL 31 DE DICIEMBRE DE 2011, INCLUSIVE, LA VIGENCIA DEL IMPUESTO ADICIONAL DE EMERGENCIA SOBRE EL PRECIO FINAL DE VENTA DE CIGARRILLOS ( LEY 24625 ) Y LA DISTRIBUCION DEL PRODUCIDO DEL MENCIONADO TRIBUTO ( LEY 25239 ). CD-67/10-PL, Art. 1","/parlamentario/comisiones/verExp/67.10/CD/PL","EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/1011","/votaciones/detalleActa/1011",,47,7,0,18
