id,votacion_id,original_id,itul
1,1,"4223-D-1993","Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Reconsideración de la votación del Artículo 5º"
2,2,"4223-D-1993","Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 16º"
3,3,"4223-D-1993","Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 15º"
3355,3355,"4223-D-1993","Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 15º	"
4,4,"4223-D-1993","Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 14º"
3356,3356,"4223-D-1993","Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 14º	"
5,5,"4223-D-1993","Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 13º"
6,6,"4223-D-1993","Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 12º"
7,7,"4223-D-1993","Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 11º"
8,8,"4223-D-1993","Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 10º"
3357,3357,"4223-D-1993","Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 10º	"
9,9,"4223-D-1993","Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 9º"
10,10,"4223-D-1993","Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 8º"
11,11,"4223-D-1993","Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 7º"
12,12,"4223-D-1993","Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 6º"
13,13,"4223-D-1993","Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 4º"
14,14,"4223-D-1993","Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 3º"
15,15,"4223-D-1993","Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 2º"
16,16,"4223-D-1993","Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 1º"
17,17,"4223-D-1993","Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - En General"
3358,3358,"4223-D-1993"," Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - En General"
18,18,"49-PE-1992","Insistencia de la HCDN en la sanción original del proyecto de Ley 24.164, Creación de un Juzgado Federal en Reconquista, provincia de Santa Fe, Observada por el PEN con Decreto 1847/92, Mensaje 1948"
19,19,"190-S-1992","Tratado para la Proscripción de Armas Nucleares en América Latina y el Caribe (Tratado de Tlatelolco), adoptada en México - En General"
20,20,"5-PE-1993","Modificación de la Ley 23.349, Impuesto al Valor Agregado - Reconsideración de la votación del Artículo 1º"
3359,3359,"5-PE-1993","Modificación de la Ley 23.349, Impuesto al Valor Agregado - Reconsideración de la votación del Artículo 1º	"
21,21,"5-PE-1993","Modificación de la Ley 23.349, Impuesto al Valor Agregado - Se vuelve a votar el Artículo 1°"
22,22,"5-PE-1993","Modificación de la Ley 23.349, Impuesto al Valor Agregado - Reconsideración de la votación del Artículo 1º"
23,23,"5-PE-1993","Modificación de la Ley 23.349, Impuesto al Valor Agregado - Artículo 1º"
24,24,"116-S-1992","Régimen de Defensa del Consumidor - Capítulo VII - Artículos del 32º al 35º"
25,25,"116-S-1992","Régimen de Defensa del Consumidor - Capítulo VI - Artículos del 25º al 31º con modificaciones"
26,26,"420-D-1993","Modificación a la Ley 13.893, de Tránsito y Seguridad Vial"
27,27,"158-S-1994","Modificación al Régimen Electoral Nacional, elección de Presidente y Vicepresidente de la Nación, Senadores y Diputados Nacionales - En General"
28,28,"57-PE-1994","Modificación del Régimen de Contrato de Trabajo - En General"
29,29,"8-S-1994","Disminución General de las retribuciones de Letrados y Auxiliar de Justicia en los Procesos Judiciales - Artículo 4° votado nuevamente Nominal"
30,30,"8-S-1994","Disminución General de las retribuciones de Letrados y Auxiliar de Justicia en los Procesos Judiciales - Solicitud del Diputado Galván de rectificación de la votación del Artículo 4°"
31,31,"8-S-1994","Disminución General de las retribuciones de Letrados y Auxiliar de Justicia en los Procesos Judiciales - Artículo 4°"
32,32,"37-PE-1994","Presupuesto General de la Administración Pública Nacional para el Ejercicio Fiscal 1995 - Artículo 11°"
33,33,"37-PE-1994","Presupuesto General de la Administración Pública Nacional para el Ejercicio Fiscal 1995 - Artículo 10°"
34,34,"37-PE-1994","Presupuesto General de la Administración Pública Nacional para el Ejercicio Fiscal 1995 - Artículo 2°"
35,35,"37-PE-1994","Presupuesto General de la Administración Pública Nacional para el Ejercicio Fiscal 1995 - Artículo 1°"
36,36,"13-PE-1994","Financiamiento de la Vivienda y la Construcción - En General"
37,37,"1216-D-1994","Programa Nacional para la Emergencia Habitacional - Artículo 4°"
38,38,"1216-D-1994","Programa Nacional para la Emergencia Habitacional - Artículo 3°"
39,39,"60-PE-1993","Insistencia de la HCDN en el proyecto de Ley registrado con el N° 24.305, Programa Nacional de lucha contra la fiebre aftosa, Observada por decreto 7/94 del PEN"
40,40,"19-PE-1994","Mensaje 1264 del PEN, por el cual se introducen modificaciones al Exp. 0020-PE-93 - Mensaje 1718 sobre el Régimen Financiero de las Universidades Nacionales"
41,41,"18-PE-1994","Mensaje 1258 del PEN, solicitando la devolución del Exp. 0022-PE-93 - Mensaje 1740 - Reforma del Régimen de Contrato de Trabajo"
42,42,"55-PE-1993","Insistencia de la HCDN en la sanción original del 2° Párrafo del Artículo 34° del Proyecto de Ley registrado bajo el N° 24.307, Presupuesto de la Administración Nacional para el Ejercicio Fiscal 1994, observada parcialmente por el PEN por Decreto 2660/93"
43,43,"23-S-1994","Comunicación de la Resolución adoptada por el HSN dando cuenta de que la Comisión Bicameral de la Defensoría del Pueblo del HCN propone el nombramiento del Doctor Jorge Luis Maiorano como Defensor del Pueblo"
44,44,"747-PE-1995","Fondo Fiduciario para el Desarrollo Provincial (Decreto 286/95) - En General y Particular"
45,45,"2-JGM-1995","Presupuesto General de la Administración Nacional para el Ejercicio Fiscal del año 1996 - Artículo 33°"
46,46,"2-JGM-1995","Presupuesto General de la Administración Nacional para el Ejercicio Fiscal del año 1996 - Artículo 23"
